STREET ID,STREET,FROM,TO,PCI
10,ABEL AVENUE,GEORGIA AVENUE,MAYBELL WAY,93
20,ACACIA AVENUE,EL CAMINO REAL,ANGLE,57
30,ACACIA AVENUE,ANGLE,PORTAGE AVENUE,83
40,ADDISON AVENUE,ALMA STREET,HIGH STREET,61
50,ADDISON AVENUE,HIGH STREET,EMERSON STREET,84
60,ADDISON AVENUE,EMERSON STREET,RAMONA STREET,84
70,ADDISON AVENUE,RAMONA STREET,BRYANT STREET,67
80,ADDISON AVENUE,BRYANT STREET,SCOTT STREET,76
90,ADDISON AVENUE,SCOTT STREET,WAVERLEY STREET,74
100,ADDISON AVENUE,WAVERLEY STREET,COWPER STREET,71
110,ADDISON AVENUE,COWPER STREET,WEBSTER STREET,55
120,ADDISON AVENUE,WEBSTER STREET,MIDDLEFIELD  STREET,74
130,ADDISON AVENUE,MIDDLEFIELD  STREET,FULTON STREET,87
140,ADDISON AVENUE,FULTON STREET,GUINDA STREET,92
150,ADDISON AVENUE,GUINDA STREET,CHANNING AVENUE,79
160,ADDISON AVENUE,CHANNING AVENUE,FIFE STREET,86
170,ADOBE PLACE,NELSON DRIVE,END,96
180,AGNES WAY,OREGON  EXPRESSWAY,DENNIS DRIVE,91
190,AGNES WAY,DENNIS  DRIVE,CELIA DRIVE,91
200,ALANNAH COURT,RHODES DRIVE,END,94
210,ALESTER AVENUE,CHANNING AVENUE,DANA AVENUE,95
220,ALESTER AVENUE,DANA AVENUE,HAMILTON AVENUE,96
230,ALEXIS DRIVE,LAUREL  GLEN  DRIVE,END,97
240,ALEXIS DRIVE,LAUREL  GLEN  DRIVE,BANDERA DRIVE,97
250,ALEXIS DRIVE,BANDERA DRIVE,COUNTRY CLUB,95
260,ALEXIS DRIVE,COUNTRY CLUB,CITY LIMIT,97
270,ALGER DRIVE,RAMBOW DRIVE,COWPER STREET,95
280,ALGER DRIVE,COWPER STREET,MURDOCH DRIVE,92
290,ALLEN COURT,ROSS ROAD,END,97
300,ALLEN COURT,ALLEN COURT,END,92
310,ALLEN COURT,ALLEN COURT,END,92
320,ALLEN COURT,ALLEN COURT,END,92
330,ALLEN COURT,ALLEN COURT,END,92
340,ALMA STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,98
